ID	Name	Glottocode	SubGroup	SourceDate	Source	Latitude	Longitude
Nukini	Nukini	nuku1263	PANO	2004	aguiar2004	-7.34	-73.5
Kaxarari	Kaxarari	kaxa1239	PANO	2005	couto2005	-9.47	-66.33
Kashinawa_B	Kashinawa_B	cash1254	PANO	1995	camargo1995	-9.72	-71.17
Cavinena	Cavineña	cavi1250	TAKANA	1989	camp1989	-13.3544	-66.6277
Ese_ejja	Ese ejja	esee1248	TAKANA	1980	mendoza1980	-11.73	-67.52
AraraShawa	Arara	arar1265	PANO	1993	cunha1993	-9.8846	-71.5964
Kanamari	Kanamari	pano1254	PANO	1994	aguiar1994	-7.97	-71.56
Katukina	Katukina	pano1254	PANO	1994	aguiar1994	-7.97	-71.56
Tacana	Tacana	taca1256	TAKANA	1989	ottaviano1989	-13.39	-68.04
Araona	Araona	arao1248	TAKANA	1981	pitman1981	-12.42	-67.73
Marubo	Marubo	maru1252	PANO	2005	fleck2005	-6.61	-72.4
Matis	Matis	mati1255	PANO	2005	fleck2005	-5.73914	-72.6281
Matses	Matses	mats1244	PANO	2005	fleck2005	-5.73914	-72.6281
Shipibo_Konibo	Shipibo-Konibo	ship1254	PANO	2005	fleck2005	-7.17105	-74.8219
Pakawara	Pakawara	paca1246	PANO	2000	key2000	-12	-65.56
Shanenawa	Shanenawa	arar1265	PANO	2004	lanes2005	-9.8846	-71.5964
Kapanawa	Kapanawa	capa1241	PANO	1998	loos1998	-6.63	-74.38
Poyanawa	Poyanawa	poya1241	PANO	1992	paula1992	-7.47	-73.08
Yawanawa	Yawanawa	yawa1260	PANO	2004	paula1992	-9.8846	-71.5964
Amawaka	Amawaka	amah1246	PANO	2017	zariquiey2017	-10.2	-72.32
Chaninawa	Chaninawa	shan1283	PANO	2017	zariquiey2017	-8.01	-73.33
Iskonawa	Iskonawa	isco1239	PANO	2017	zariquiey2017	-7.75	-74.52
Kakataibo	Kakataibo	cash1251	PANO	2017	zariquiey2017	-8.7	-75.42
Kashinawa_P	Kashinawa_P	cash1254	PANO	2017	zariquiey2017	-9.72	-71.17
Marinawa	Marinawa	mari1443	PANO	2017	zariquiey2017	-9.86	-71.12
Mastanawa	Mastanawa	mast1238	PANO	2017	zariquiey2017	-4.36	-70.21
Nawa	Nawa	nawa1239	PANO	2017	zariquiey2017	-7.68	-72
Sharanawa	Sharanawa	shar1245	PANO	2017	zariquiey2017	-9.86	-71.12
Yaminawa	Yaminawa	yami1256	PANO	2017	zariquiey2017	-9.8846	-71.5964
Chakobo	Chakobo	chac1251	PANO	1998	zingg1998	-12.13	-66.72
