ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	MORPHEMES	COGIDS	NOTES	AUTOCOGIDS
533	m a + p i	554	head	Matses	mapi	cabeza	m a + p i	mapi	head _pi	77 184		1664 25
534	m a - - + ʂ o	554	head	Matis	maʂo	cabeza	m a + ʂ o	maʂo	head _ʂo	77 180		1664 1668
535	m a + p u	554	head	Marubo	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
536	m a + p u	554	head	Katukina	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
537	m a + p u	554	head	Kanamari	mapu	cabeza	m a + p u	mapu	head _pu	77 76	!	1664 25
538	m a + p u	554	head	Shipibo_Konibo	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
539	m a + p u	554	head	Kapanawa	mapu	cabeza	m a + p u	mapu	head _pu	77 76	!	1664 25
542	m a + p u	554	head	Shanenawa	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
543	m a + p u	554	head	Yawanawa	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
544	m a + p u	554	head	Nukini	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
545	β u + h k a	555	head	Poyanawa	βuhka	cabeza	β u + h k a	βuhka	hair _ʂka	81 79		1666 42
546	β u + h k a	555	head	Iskonawa	βuhka	cabeza	β u + h k a	βuhka	hair _ʂka	81 79	!	1666 42
547	m a + p u	554	head	Chakobo	mapu	cabeza	m a + p u	mapu	head _pu	77 76	!	1664 25
548	m a + p u	554	head	Pakawara	mapu	cabeza	m a + p u	mapu	head _pu	77 76		1664 25
549	m a + ʂ k a	555	head	Kakataibo	maʂka	cabeza	m a + ʂ k a	maʂka	head _ʂka	77 79	!	1667 42
550	w u + ʂ k a + t a	0	head	Kaxarari	wɨʂkata	cabeza	w ɨ + ʂ k a t a	wɨʂkata	forehead _ʂkata	0 79		1666 42
551	b a + p u	554	head	Mastanawa	bapu	cabeza	b a + p u	bapu	head _pu	77 76		1664 25
552	β a + ↓sa.s k a + t i	555	head	Chaninawa	basakati	cabeza	b a + s k a t i	βasakati	head _ʂka	77 79	!	1665 42
553	b a + p u	554	head	Sharanawa	bapu	cabeza	b a + p u	bapu	head _pu	77 76		1664 25
554	m a + p u	554	head	Amawaka	mapu	cabeza	m a + p u	mapu	head _pu	77 76	!	1664 25
555	b aː + p u	554	head	Nawa	bapu	cabeza	b a + p u	ba:pu	head _pu	77 76		1664 25
556	b a + p u	554	head	Marinawa	bapu	cabeza	b a + p u	bapu	head _pu	77 76		1664 25
557	ɸ u + ʂ k a	555	head	Marinawa	ɸuʂka	cabeza	ɸ u + ʂ k a	ɸuʂka	hair _ʂka	81 79		1666 42
558	b a + p u	554	head	Yaminawa	bapu	cabeza	b a + p u	bapu	head _pu	77 76		1664 25
559	β u + ʂ k a	555	head	Kashinawa_P	βuʂka	cabeza	β u + ʂ k a	βuʂka	hair _ʂka	81 79		1666 42
560	β u + ʂ k a	555	head	Kashinawa_B	βuʂka	cabeza	β u + ʂ k a	βuʂka	hair _ʂka	81 79		1666 42
561	e ʃ o a	556	head	Araona	ešoa	cabeza	e + ʃ o a	e-šoa	_:suffix/e head	75 83		0
