ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	MORPHEMES	COGIDS	NOTES	AUTOCOGIDS
565	m a + n ë d a i d	539	hair	Matses	manɨdaid	cabello pelo	m a + n ɨ d a i d	βu	head _nëdaid	77 83	!	23 24
566	ʂ a k + k e + t e	543	hair	Matis	ʂakkete	cabello pelo	ʂ a k k e t e	ʂakkete	sakkete	58		1561 383 1222
567	β u - -	539	hair	Marubo	βu	cabello pelo	β u	βu	hair	9		1559
568	β u - -	539	hair	Katukina	βuu	cabello pelo	β u	βuu	hair	9		1559
569	β u - -	539	hair	Kanamari	βuu	cabello pelo	β u	βuu	hair	9		1559
570	β u - -	539	hair	Shipibo_Konibo	βu	cabello pelo	β u	βu	hair	9		1559
571	β u - -	539	hair	Kapanawa	βu	cabello pelo	β u	βu	hair	9		1559
573	ɸ u - -	539	hair	Shanenawa	ɸu	cabello pelo	ɸ u	ɸu	hair	9		1559
574	β u - -	539	hair	Yawanawa	βu	cabello pelo	β u	βu	hair	9		1559
575	β u - -	539	hair	Nukini	βu	cabello pelo	β u	βu	hair	9		1559
576	β u - -	539	hair	Poyanawa	βu	cabello pelo	β u	βu	hair	9		1559
577	β u - -	539	hair	Iskonawa	βu	cabello pelo	β u	βu	hair	9		1559
578	β u - -	539	hair	Chakobo	βu	cabello pelo	β u	βu	hair	9		1559
579	w uː - -	539	hair	Pakawara	wuu	cabello pelo	w u u	wuu	hair	9		1559
580	β u - -	539	hair	Kakataibo	βu	cabello pelo	β u	βu	hair	9		1559
581	w u + ʂ k a + tʃ a n i	542	hair	Kaxarari	βɨʂkatʃani	cabello pelo	β ɨ + ʂ k a + tʃ a n i	wɨʂkatʃani	forehead _ʂka bodyhair	81 79 10	!	1559 21 22
582	f u + ʔ u	539	hair	Mastanawa	fuʔu	cabello pelo	f u ʔ u	fuʔu	hair	9	the form ʔu is a prosodic requirment not a suffix	1559
583	ɸ u - -	539	hair	Chaninawa	ɸu	cabello pelo	ɸ u	ɸu	hair	9		1559
584	ɸ u - -	539	hair	Sharanawa	ɸu	cabello pelo	ɸ u	ɸu	hair	9		1559
585	β u - -	539	hair	Amawaka	βu	cabello pelo	β u	βu	hair	9		1559
586	ɸ u ʔ u	539	hair	Nawa	ɸuʔu	cabello pelo	ɸ u ʔ u	ɸuʔu	hair	9	the form ʔu is a prosodic requirment not a suffix	1559
587	ɸ u + ʔ u	539	hair	Marinawa	ɸuʔu	cabello pelo	ɸ u ʔ u	ɸuʔu	hair	9	the form ʔu is a prosodic requirment not a suffix	1559
588	ɸ u - -	539	hair	Yaminawa	hu	cabello pelo	ɸ u	hu	hair	9		1559
589	β u - -	539	hair	Kashinawa_P	βu	cabello pelo	β u	βu	hair	9		1559
590	β u - -	539	hair	Kashinawa_B	βu	cabello pelo	β u	βu	hair	9		1559
591	ʃ o - a - i ɲ a	494	hair	Araona	šoaiɲa	cabello pelo	ʃ o a + i ɲ a	šoa-iɲa	head hair	83 84		0
597	p a + β i a t e	310	ear	Matses	paβiate	oreja	p a + β i a t e	paβiate	ear _biate	185 190	!	853 15
598	p a + β ɨ ʂ a n	310	ear	Matis	paβɨʂan	oreja	p a + β ɨ ʂ a n	paβɨʂan	ear _bɨsan	185 186		856 858
599	p a n + tʃ u	310	ear	Marubo	pantʃu	oreja	p a n + tʃ u	pantʃu	ear _tʃu	185 226	!	855 13
600	p a n + t x u	310	ear	Katukina	pantxu	oreja	p a n + ʈʂ u	pantxu	ear _tʃu	185 226	!	855 13
601	p a n + tʃ o	310	ear	Kanamari	pãtʃo	oreja	p a n + tʃ o	pãtʃo	ear _tʃu	185 226	!	855 13
602	p a + β i k i	310	ear	Shipibo_Konibo	paβiki	oreja	p a + β i k i	paβiki	ear _binki	185 187	!	853 9
603	p a + β i - - n k i	310	ear	Kapanawa	paβinki	oreja	p a + β i n k i	paβinki	ear _binki	185 187		856 9
605	p a + h i n k i	310	ear	Shanenawa	pahinki	oreja	p a + h i n k i	pahinki	ear _binki	185 187	!	853 9
606	p a + h i n k i	310	ear	Yawanawa	pahinki	oreja	p a + h i n k i	pahinki	ear _binki	185 187	!	853 9
607	p a + β i - - - k i	310	ear	Nukini	paβiki	oreja	p a + β i k i	paβiki	ear _binki	185 187		856 9
608	p a + b ĩ k i	310	ear	Poyanawa	pabĩki	oreja	p a + b ĩ k i	pabĩki	ear _binki	185 187	!	853 9
609	p a + β i n k i	310	ear	Iskonawa	paβinki	oreja	p a + β i n k i	paβinki	ear _binki	185 187	!	853 9
610	p a + ʔ u k i	310	ear	Chakobo	paʔuki	oreja	p a + ʔ u k i	pa?uki	ear _binki	185 187	!	853 10
611	p a + ʔ u k i	310	ear	Pakawara	paʔuki	oreja	p a + ʔ u k i	pa?uki	ear _ʔuki	185 187	!	853 16
612	p a + β i	310	ear	Kakataibo	paβi	oreja	p a + β i	paβi	ear _βi	185 187	!	853 12
613	i s + ã k i l i	267	ear	Kaxarari	isãkili	oreja	i s ã + k i l i	isãkili	temple _kili	191 193	!	857 14
614	p a + tʃ u	310	ear	Mastanawa	paʧu	oreja	p a + tʃ u	paʧu	ear _tʃu	185 226	!	855 13
615	d i k a + t i	313	ear	Chaninawa	dikati	oreja	d i k a + t i	dikati	hear _ti	194 196	!	854 11
616	p a + tʃ u	310	ear	Sharanawa	pat͡ʃu	oreja	p a + tʃ u	pat͡ʃu	ear _tʃu	185 226	!	855 13
617	p a + w i n k i	310	ear	Amawaka	pawinki	oreja	p a + w i n k i	pawinki	ear _binki	185 187	!	853 9
618	p a + tʃ u	310	ear	Nawa	paʧu	oreja	p a + tʃ u	paʧu	ear _tʃu	185 226		856 13
619	d i k a + t i	313	ear	Nawa	dikati	oreja	d i k a + t i	dikati	hear _ti	194 196	!	854 11
620	p a + ɸ i k i	310	ear	Marinawa	paɸiki	oreja	p a + ɸ i k i	paɸiki	ear _binki	185 187	!	853 9
621	p a + tʃ u	310	ear	Yaminawa	paʧu	oreja	p a + tʃ u	paʧu	ear _tʃu	185 226	!	855 13
622	p a + β i n k i	310	ear	Kashinawa_P	paβinki	oreja	p a + β i n k i	paβinki	ear _binki	185 187	!	853 9
623	p a + β ĩ k i	310	ear	Kashinawa_B	paβĩki	oreja	p a + β ĩ k i	paβĩki	ear _binki	185 187	!	853 9
624	e i z a h a	267	ear	Araona	eizaha	oreja	e i z a h a	e-iza-ha	eizaha			0
628	ɨ ʂ ɨ	332	eye	Matses	ɨʂɨ	ojo	ɨ ʂ ɨ	ɨʂɨ	seed	201		963
629	β ɨ + d u	330	eye	Matis	βɨdu	ojo	β ɨ + d u	βɨdu	eye _ɾu	198 195	!	962 17
630	β ɨ + r u	330	eye	Marubo	βɨru	ojo	β ɨ + r u	βɨru	eye _ɾu	198 195	!	962 17
631	β i + r u	330	eye	Katukina	βiru	ojo	β i + r u	βiru	eye _ɾu	198 195	!	962 17
632	m β ɨ + r u	330	eye	Kanamari	mβɨru	ojo	ⁿβ ɨ + r u	mβɨru	eye _ɾu	198 195	!	962 17
633	β ɨ + r u	330	eye	Shipibo_Konibo	βɨru	ojo	β ɨ + r u	βɨru	eye _ɾu	198 195	!	962 17
634	β ɨ + r u	330	eye	Kapanawa	βɨru	ojo	β ɨ + r u	βɨru	eye _ɾu	198 195	!	962 17
636	ɸ ɨ + r u	330	eye	Shanenawa	ɸɨru	ojo	ɸ ɨ + r u	ɸɨru	eye _ɾu	198 195	!	962 17
637	β ɨ + r u	330	eye	Yawanawa	βɨru	ojo	β ɨ + r u	βɨru	eye _ɾu	198 195	!	962 17
638	β ɨ + r u	330	eye	Nukini	βɨrɨ	ojo	β ɨ + r u	βɨrɨ	eye _ɾu	198 195	not sure ri = ru	960 17
639	β ɨ + r u	330	eye	Poyanawa	βɨru	ojo	β ɨ + r u	βɨru	eye _ɾu	198 195	!	962 17
640	β ɨ + ɾ u	330	eye	Iskonawa	βɨɾu	ojo	β ɨ + ɾ u	βɨɾu	eye _ɾu	198 195		960 17
641	β ɨ + r u	330	eye	Chakobo	βɨru	ojo	β ɨ + r u	βɨru	eye _ɾu	198 195		960 17
642	w ɨ + r u	330	eye	Pakawara	wɨru	ojo	w ɨ + r u	wɨru	eye _ɾu	198 195	!	962 17
643	β ɨ + ɾ u	330	eye	Kakataibo	βɨro	ojo	β ɨ + ɾ u	βɨro	eye _ɾu	198 195		960 17
644	w ɨ + tʃ u w ɨ	330	eye	Kaxarari	wɨtʃɨ	ojo	w ɨ + tʃ ɨ w ɨ	wɨtʃɨwɨ	eye _tʃɨwɨ	198 0	I added 0 as a codig	962 18
645	β ɨ + tʃ u	241	eye	Kaxarari	βɨtʃu	ojo	β ɨ + tʃ u	βutʃu	eye _tʃu	198 197	!	962 17
646	ɸ ɨ + ɾ u	330	eye	Mastanawa	ɸɨɾu	ojo	ɸ ɨ + ɾ u	ɸɨɾu	eye _ɾu	198 195	!	962 17
647	β ɨ + ɾ u	330	eye	Chaninawa	ɸɨɾu	ojo	β ɨ + ɾ u	ɸɨɾu	eye _ɾu	198 195		960 17
648	ɸ ɨ + ɾ u	330	eye	Sharanawa	ɸɨɾu	ojo	ɸ ɨ + ɾ u	ɸɨɾu	eye _ɾu	198 195	!	962 17
649	β ɨ + ɾ u	330	eye	Amawaka	βɨɾu	ojo	β ɨ + ɾ u	βɨɾu	eye _ɾu	198 195		960 17
650	ɸ ɨ + ɾ u	330	eye	Nawa	ɸɨɾu	ojo	ɸ ɨ + ɾ u	ɸɨɾu	eye _ɾu	198 195	!	962 17
651	ɸ ɨ + ɾ u	330	eye	Marinawa	ɸɨɾu	ojo	ɸ ɨ + ɾ u	ɸwɨɾu	eye _ɾu	198 195	!	962 17
652	ɸ ɨ + ɾ u	330	eye	Yaminawa	ɸɨɾu	ojo	ɸ ɨ + ɾ u	ɸɨɾu	eye _ɾu	198 195	!	962 17
653	β ɨ + ɾ u	330	eye	Kashinawa_P	βɨɾu	ojo	β ɨ + ɾ u	βɨɾu	eye _ɾu	198 195	!	962 17
654	β ɨ + d u	330	eye	Kashinawa_B	βɨdu	ojo	β ɨ + d u	βɨdu	eye _ɾu	198 195	!	962 17
655	e t o - a	331	eye	Araona	etoa	ojo	e t o a	e-toa	etoa			0
659	d ɨ + β i a t e	830	nose	Matses	dɨβiate	nariz	d ɨ + β i a t e	dɨβiate	nose _biate	151 157		2609 2612
660	d ɨ + ʂ a n	830	nose	Matis	dɨʂan	nariz	d ɨ + ʂ a n	dɨʂan	nose _san	151 155		2609 2611
661	r ɨ + k i n -	830	nose	Marubo	rɨkin	nariz	r ɨ + k i n	rɨkin	nose _kin	151 153		2606 2607
662	r ɨ + k i n -	830	nose	Katukina	renkin	nariz	r ɨ + k i n	renkin	nose _kin	151 153		2606 2607
663	r ɨ + k ĩ - -	830	nose	Kanamari	rɨkĩ	nariz	r ɨ + k ĩ	rɨkĩ	nose _kin	151 153		2606 2607
664	r ɨ + k i n -	830	nose	Shipibo_Konibo	rɨkin	nariz	r ɨ + k i n	rɨkin	nose _kin	151 153		2606 2607
665	r ɨ + k i n -	830	nose	Kapanawa	rɨkin	nariz	r ɨ + k i n	rɨkin	nose _kin	151 153		2606 2607
667	r ɨ + k i n -	830	nose	Shanenawa	rɨkin	nariz	r ɨ + k i n	rɨkin	nose _kin	151 153		2606 2607
668	r ɨ + k i n -	830	nose	Yawanawa	rɨkin	nariz	r ɨ + k i n	rɨkin	nose _kin	151 153		2606 2607
669	r ɨ̃ + k ɨ̃ - -	830	nose	Nukini	rɨ̃kɨ̃	nariz	r ɨ̃ + k ɨ̃	rɨ̃kɨ̃	nose _kin	151 153		2606 2607
670	r ɨ + k ĩ - -	830	nose	Poyanawa	rɨnkĩ	nariz	r ɨ + k ĩ	rɨnkĩ	nose _kin	151 153		2606 2607
671	ɾ ɨ + k ĩ - -	830	nose	Iskonawa	ɾɨnkĩ	nariz	ɾ ɨ + k ĩ	ɾɨnkĩ	nose _kin	151 153		2606 2607
672	r ɨ + ʂ a k i	830	nose	Chakobo	rɨʂaki	nariz	r ɨ + ʂ a k i	rɨʂaki	nose _ʂaki	151 152		2606 2608
673	r ɨ + k i n a	830	nose	Pakawara	rɨkina	nariz	r ɨ + k i n a	rɨkina	nose _kin	151 153		2606 2607
674	r ɨ + k i n -	830	nose	Kakataibo	rɨkin	nariz	r ɨ + k i n	rɨkin	nose _kin	151 153		2606 2607
675	r ɨ + k a n i	830	nose	Kaxarari	tʃɨkani	nariz	r ɨ + k a n i	tʃɨkani	nose _kani	151 153		2606 2607
676	ɾ ɨ + tʃ u ʔ u	830	nose	Mastanawa	ɾɨʧuʔu	nariz	ɾ ɨ + tʃ u ʔ u	ɾɨʧuʔu	nose _ʧuku	151 154		2606 2610
677	ɾ ɨ + k i - -	830	nose	Chaninawa	ɾɨki	nariz	ɾ ɨ + k i	ɾɨki	nose _kin	151 153		2606 2607
678	ɾ ɨ + tʃ u k u	830	nose	Sharanawa	ɾɨt͡ʃuku	nariz	ɾ ɨ + tʃ u k u	ɾɨt͡ʃuku	nose _ʧuku	151 154		2606 2610
679	ɾ ɨ + k i n -	830	nose	Amawaka	ɾɨkin	nariz	ɾ ɨ + k i n	ɾɨ(n)kin	nose _kin	151 153		2606 2607
680	ɾ ɨ + tʃ a	830	nose	Nawa	ɾɨʧa	nariz	ɾ ɨ + tʃ a	ɾɨʧa	nose _ʧa	151 156		2606 2613
681	ɾ ɨ + tʃ u k u	830	nose	Marinawa	ɾɨʧuku	nariz	ɾ ɨ + tʃ u k u	ɾɨʧuku	nose _ʧuku	151 154		2606 2610
682	ɾ ɨ + tʃ u ʔ u	830	nose	Yaminawa	ɾɨʧuʔu	nariz	ɾ ɨ + tʃ u ʔ u	ɾɨʧuʔu	nose _ʧuku	151 154		2606 2610
683	d ɨ + k i - -	830	nose	Kashinawa_P	dɨki	nariz	d ɨ + k i	dɨki	nose _kin	151 153		2609 2607
684	ɾ ɨ + k i - -	830	nose	Kashinawa_P	ɾɨki	nariz	ɾ ɨ + k i	ɾɨki	nose _kin	151 153		2606 2607
685	d ɨ + k ĩ - -	830	nose	Kashinawa_B	dɨkĩ	nariz	d ɨ + k ĩ	dɨkĩ	nose _kin	151 153		2609 2607
686	e w i -	831	nose	Araona	ewi	nariz	e w i	ewi				0
720	- a n + a	1330	tongue	Matses	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 1696
721	- a n + a	1330	tongue	Matis	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 4055
722	- a n + a + r ɨ β u	1330	tongue	Marubo	ana	lengua	a n + a	ana rɨβu	mouth/tongue _a	166 6		4054 4055 4056
723	- a n + a	1330	tongue	Katukina	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 4055
724	h a n + a	1330	tongue	Kanamari	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
725	h a n + a	1330	tongue	Shipibo_Konibo	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
726	h a n + a	1330	tongue	Kapanawa	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
728	- a n + a	1330	tongue	Shanenawa	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 4055
729	- a n + a	1330	tongue	Yawanawa	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 4055
730	- a n + a	1330	tongue	Nukini	anã	lengua	a n + a	anã	mouth/tongue _a	166 6		4054 4055
731	a ⁿd + a	1330	tongue	Poyanawa	anda	lengua	a ⁿd + a	anda	mouth/tongue _a	166 6		4058 4055
732	- a n + a	1330	tongue	Iskonawa	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 4055
733	h a n + a	1330	tongue	Chakobo	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
734	h a n + a	1330	tongue	Pakawara	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
735	- a n + a	1330	tongue	Kakataibo	ana	lengua	a n + a	ana	mouth/tongue _a	166 6		4054 4055
736	h a n + a	1330	tongue	Kaxarari	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
737	- a d + a	1330	tongue	Mastanawa	ada	lengua	a d + a	ada	mouth/tongue _a	166 6		4054 4055
738	- a d + a	1330	tongue	Chaninawa	a:da	lengua	a d + a	a:da	mouth/tongue _a	166 6		4054 4055
739	- a d + a	1330	tongue	Sharanawa	ada	lengua	a d + a	ada	mouth/tongue _a	166 6		4054 4055
740	h a ⁿd + a	1330	tongue	Amawaka	handa	lengua	h a ⁿd + a	handa	mouth/tongue _a	166 6		4054 4055
741	a d + a	1330	tongue	Nawa	a:da	lengua	a d + a	a:da	mouth/tongue _a	166 6		4057 4055
742	- a ⁿd + a	1330	tongue	Marinawa	anda	lengua	a ⁿd + a	anda	mouth/tongue _a	166 6		4054 4055
743	a d + a	1330	tongue	Yaminawa	ada	lengua	a d + a	ada	mouth/tongue _a	166 6		4059 4055
744	h a n + a	1330	tongue	Kashinawa_P	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
745	h a n + a	1330	tongue	Kashinawa_B	hana	lengua	h a n + a	hana	mouth/tongue _a	166 6		4054 4055
746	- e a n - a	1330	tongue	Araona	eana	lengua	e a n a	e-ana				0
750	ʂ ɨ + t a	1308	tooth [front]	Matses	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
751	ʂ ɨ + t a	1308	tooth [front]	Matis	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
752	ʂ ɨ + t a	1308	tooth [front]	Marubo	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
753	x i + t a	1308	tooth [front]	Katukina	hita	diente	h i + t a	xita	tooth _ta	246 247		4106 4107
754	ʂ ɨ + t a	1308	tooth [front]	Kanamari	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
755	ʂ ɨ + t a	1308	tooth [front]	Shipibo_Konibo	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
756	ʂ ɨ + t a	1308	tooth [front]	Kapanawa	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
758	ʂ ɨ + t a	1308	tooth [front]	Shanenawa	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
759	ʂ ɨ + t a	1308	tooth [front]	Yawanawa	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
760	h i + t a	1308	tooth [front]	Nukini	hita	diente	h i + t a	hita	tooth _ta	246 247		4106 4107
761	h ɨ + t a	1308	tooth [front]	Iskonawa	hɨta	diente	h ɨ + t a	hɨta	tooth _ta	246 247		4106 4107
762	ʂ ɨ + t a	1308	tooth [front]	Chakobo	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
763	ʂ ɨ + n a	1308	tooth [front]	Pakawara	ʂɨna	diente	ʂ ɨ + n a	ʂɨna	tooth _ta	246 247		4106 4110
764	ʂ ɨ + t a	1308	tooth [front]	Kakataibo	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
765	ʂ ɨ + t a	1308	tooth [front]	Kaxarari	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
766	p i + t i	1333	tooth [front]	Mastanawa	piti	diente	p i + t i	piti	eat _ti	244 245		4108 4109
767	ʂ ɨ + t a	1308	tooth [front]	Mastanawa	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
768	p i + t i	1333	tooth [front]	Chaninawa	piti	diente	p i + t i	piti	eat _ti	244 245		4108 4109
770	p i + t i	1333	tooth [front]	Sharanawa	piti	diente	p i + t i	piti	eat _ti	244 245		4108 4109
771	ç ɨ + t a	1308	tooth [front]	Amawaka	çɨta	diente	ç ɨ + t a	çɨta	tooth _ta	246 247		4106 4107
772	p i + t i	1333	tooth [front]	Nawa	piti	diente	p i + t i	piti	eat _ti	244 245		4108 4109
773	ʂ ɨ + t a	1308	tooth [front]	Nawa	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
774	ʂ ɨ + t a	1308	tooth [front]	Marinawa	ʂɨta	diente	ʂ ɨ + t a	ʂɨta	tooth _ta	246 247		4106 4107
775	p i + t i	1333	tooth [front]	Yaminawa	piti	diente	p i + t i	piti	eat _ti	244 245		4108 4109
776	ʃ ɨ + t a	1308	tooth [front]	Kashinawa_P	ʂɨta	diente	ʂ ɨ + t a	ʃɨta	tooth _ta	246 247		4106 4107
777	ʂ ɨ + t ɨ	1308	tooth [front]	Kashinawa_B	ʂɨtɨ	diente	ʂ ɨ + t ɨ	ʂɨtɨ	tooth _ta	246 247	vowel harmony	4106 4109
778	- e tʃ e	1308	tooth [front]	Araona	ec̷e	diente	e tʃ e	e-c̷e				0
782	t ɨ + n i t e	810	neck	Matses	tɨnite	cuello	t ɨ + n i t e	tɨnite	neck _nite	137 144		2502 2509
783	t ɨ + t u n	810	neck	Matis	tɨtun	cuello	t ɨ + t u n	tɨtun	neck _tun	137 150		2502 2508
784	t ɨ + ʂ u	810	neck	Marubo	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
785	t i + s p u n	810	neck	Katukina	tispun	cuello	t i + s p u n	tispun	neck _spun	137 147		2502 2506
786	t ɨ + ʃ u	810	neck	Kanamari	taʃu	cuello	t ɨ + ʃ u	taʃu	neck _ʂu	137 139		2502 2503
787	t ɨ + ʂ u	810	neck	Shipibo_Konibo	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
788	t ɨ + ʂ u	810	neck	Kapanawa	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
790	t ɨ + ʂ u	810	neck	Shanenawa	tɨʂɨ	cuello	t ɨ + ʂ u	tɨʂɨ	neck _ʂu	137 139		2502 2503
791	t ɨ + ʃ u	810	neck	Yawanawa	tɨʃu	cuello	t ɨ + ʃ u	tɨʃu	neck _ʂu	137 139		2502 2503
792	n i + p i k a	804	neck	Nukini	nipika	cuello	n i + p i k a	nipika	neck _pika	137 145		2510
793	t ɨ + k ɨ	810	neck	Nukini	tɨkɨ	cuello	t ɨ + k ɨ	tukɨ	neck _ki	137 142		2502 2513
794	t ɨ + h u	810	neck	Poyanawa	tɨhu	cuello	t ɨ + h u	tɨhu	neck _ʂu	137 139		2502 2503
795	t ɨ + h u	810	neck	Iskonawa	tɨhu	cuello	t ɨ + h u	tɨhu	neck _ʂu	137 139		2502 2503
796	t ɨ + p u k u	810	neck	Chakobo	tɨpuku	cuello	t ɨ + p u k u	tɨpuku	neck _puku	137 146		2502 2504
797	t i + k a n a	810	neck	Pakawara	tikana	cuello	t i + k a n a	tikana	neck _kana	137 141		2502 2511
798	t ɨ + ʂ a	810	neck	Kakataibo	tɨʂa	cuello	t ɨ + ʂ a	tɨʂa	neck _ʂa	137 149		2502 2503
799	t ɨ + i w i	810	neck	Kaxarari	tɨiwi	cuello	t ɨ + i w i	tɨiwi	neck _iwi	137 138		2502 2507
800	t ɨ + ʂ u	810	neck	Mastanawa	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
801	t ɨ + s t o	810	neck	Chaninawa	tɨsto	cuello	t ɨ + s t o	tɨsto	neck _sto	137 148		2502 2505
802	t ɨ + ʂ u	810	neck	Sharanawa	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
803	t ɨ + ç u	806	neck	Amawaka	tɨçu	cuello	t ɨ + ç u	çau	neck _ʂu	137 139		2502 2503
804	t ɨ + ʂ u	810	neck	Nawa	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
805	t ɨ + m a ʂ k a	810	neck	Nawa	tɨmaʂka	cuello	t ɨ + m a ʂ k a	tɨmaʂka	neck _maʂka	137 143		2502 2512
806	t ɨ + ʂ u	810	neck	Marinawa	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
807	t ɨ + ʂ u	810	neck	Yaminawa	tɨʂu	cuello	t ɨ + ʂ u	tɨʂu	neck _ʂu	137 139		2502 2503
