,,,,,,,,,,,ROOT,ROOT,FORMATIVE,FORMATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Katukina,tooth [front],diente,xita,xita,ʂ i + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Kanamari,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Shipibo_Konibo,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Kapanawa,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Arara,tooth [front],diente,ʃɨta,ʃɨta,ʃ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Shanenawa,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Yawanawa,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Nukini,tooth [front],diente,hita,hita,h i + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Iskonawa,tooth [front],diente,hɨta,hɨta,h ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Chakobo,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Pakawara,tooth [front],diente,ʂɨna,ʂɨna,ʂ ɨ + n a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Kakataibo,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Kaxarari,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Mastanawa,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Amawaka,tooth [front],diente,çɨta,çɨta,ç ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Nawa,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Marinawa,tooth [front],diente,ʂɨta,ʂɨta,ʂ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Kashinawa_P,tooth [front],diente,ʃɨta,ʃɨta,ʃ ɨ + t a,tooth _ta,1308,246 247,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
