ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Note,SourceDate,Source
Nukini,Nukini,nuku1263,,,,-7.34,-73.5,Pano,PANO,,2004,aguiar2004
Kaxarari,Kaxarari,kaxa1239,,,,-9.47,-66.33,Pano,PANO,,2005,couto2005
Kashinawa_B,Kashinawa_B,cash1254,,,,-9.72,-71.17,Pano,PANO,,1995,camargo1995
AraraShawa,Arara,arar1265,,,,-9.8846,-71.5964,Pano,PANO,,1993,cunha1993
Kanamari,Kanamari,pano1254,,,,-7.97,-71.56,Pano,PANO,,1994,aguiar1994
Katukina,Katukina,pano1254,,,,-7.97,-71.56,Pano,PANO,,1994,aguiar1994
Marubo,Marubo,maru1252,,,,-6.61,-72.4,Pano,PANO,,2005,fleck2005
Matis,Matis,mati1255,,,,-5.73914,-72.6281,Pano,PANO,,2005,fleck2005
Matses,Matses,mats1244,,,,-5.73914,-72.6281,Pano,PANO,,2005,fleck2005
Shipibo_Konibo,Shipibo-Konibo,ship1254,,,,-7.17105,-74.8219,Pano,PANO,,2005,fleck2005
Pakawara,Pakawara,paca1246,,,,-12,-65.56,Pano,PANO,,2000,key2000
Shanenawa,Shanenawa,arar1265,,,,-9.8846,-71.5964,Pano,PANO,,2004,lanes2005
Kapanawa,Kapanawa,capa1241,,,,-6.63,-74.38,Pano,PANO,,1998,loos1998
Poyanawa,Poyanawa,poya1241,,,,-7.47,-73.08,Pano,PANO,,1992,paula1992
Yawanawa,Yawanawa,yawa1260,,,,-9.8846,-71.5964,Pano,PANO,,2004,paula1992
Amawaka,Amawaka,amah1246,,,,-10.2,-72.32,Pano,PANO,,2017,zariquiey2017
Chaninawa,Chaninawa,shan1283,,,,-8.01,-73.33,Pano,PANO,,2017,zariquiey2017
Iskonawa,Iskonawa,isco1239,,,,-7.75,-74.52,Pano,PANO,,2017,zariquiey2017
Kakataibo,Kakataibo,cash1251,,,,-8.7,-75.42,Pano,PANO,,2017,zariquiey2017
Kashinawa_P,Kashinawa_P,cash1254,,,,-9.72,-71.17,Pano,PANO,,2017,zariquiey2017
Marinawa,Marinawa,mari1443,,,,-9.86,-71.12,Pano,PANO,,2017,zariquiey2017
Mastanawa,Mastanawa,mast1238,,,,-4.36,-70.21,Pano,PANO,,2017,zariquiey2017
Nawa,Nawa,nawa1239,,,,-7.68,-72,Pano,PANO,,2017,zariquiey2017
Sharanawa,Sharanawa,shar1245,,,,-9.86,-71.12,Pano,PANO,,2017,zariquiey2017
Yaminawa,Yaminawa,yami1256,,,,-9.8846,-71.5964,Pano,PANO,,2017,zariquiey2017
Chakobo,Chakobo,chac1251,,,,-12.13,-66.72,Pano,PANO,,1998,zingg1998
