ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Motivation_Structure
Kaxarari-43_featherlarge-1,,Kaxarari,43_featherlarge,pii,pii,p i + i,,couto2005,375,,,,216 221,arm _i
Mastanawa-43_featherlarge-1,,Mastanawa,43_featherlarge,ʂupu,ʂupu,ʂ u p u,,zariquiey2017,378,,,,124,cotton
Chaninawa-43_featherlarge-1,,Chaninawa,43_featherlarge,pɨi,pɨi,p ɨ + i,,zariquiey2017,375,,,,216 221,arm _i
Sharanawa-43_featherlarge-1,,Sharanawa,43_featherlarge,ʂupu,ʂupu,ʂ u p u,,zariquiey2017,378,,,,124,cotton
Amawaka-43_featherlarge-1,,Amawaka,43_featherlarge,pɨʔi,pɨʔi,p ɨ + ʔ i,,zariquiey2017,375,,,,216 221,arm _i
Nawa-43_featherlarge-1,,Nawa,43_featherlarge,ɾadi,ɾadi,ɾ a d i,,zariquiey2017,376,,,,218 223,body_hair
Marinawa-43_featherlarge-1,,Marinawa,43_featherlarge,ɾandi,ɾandi,ɾ a ⁿd i,,zariquiey2017,376,,,,218 222,body_hair
Yaminawa-43_featherlarge-1,,Yaminawa,43_featherlarge,pɨj,pɨj,p ɨ + j/i,,zariquiey2017,375,,,,216 221,arm _i
Kashinawa_P-43_featherlarge-1,,Kashinawa_P,43_featherlarge,pɨj,pɨj,p ɨ + j/i,,zariquiey2017,375,,,,216 221,arm _i
Kashinawa_B-43_featherlarge-1,,Kashinawa_B,43_featherlarge,pɨi,pɨi,p ɨ + i,,camargo1995,375,,,,216 221,arm _i
Araona-43_featherlarge-1,,Araona,43_featherlarge,e-iɲa,eiɲa,e i ɲ a,,pitman1981,377,,,,0,?
Matses-65_heart-1,,Matses,65_heart,winte,uinte,u i n + t e,,fleck2005,566,,,,103 109,breathe _ti
Matis-65_heart-1,,Matis,65_heart,winte,uinte,u i n + t e,,fleck2005,566,,,,103 109,breathe _ti
Marubo-65_heart-1,,Marubo,65_heart,winti,winti,w i n + t i,,fleck2005,566,,,,103 104,breathe _ti
Katukina-65_heart-1,,Katukina,65_heart,winti,winti,w i n + t i,,aguiar1994,566,,,,103 104,breathe _ti
Shipibo_Konibo-65_heart-1,,Shipibo_Konibo,65_heart,huinti,huinti,h u i n + t i,,fleck2005,566,,,,103 104,breathe _ti
Kapanawa-65_heart-1,,Kapanawa,65_heart,hwinti,hwinti,h u i n + t i,,loos1998,566,,,,103 104,breathe _ti
Shanenawa-65_heart-1,,Shanenawa,65_heart,uinti,uinti,u i n + t i,,lanes2005,566,,,,103 104,breathe _ti
Yawanawa-65_heart-1,,Yawanawa,65_heart,ũĩti,ũĩti,ũ ĩ + t i,,paula1992,566,,,,103 104,breathe _ti
Nukini-65_heart-1,,Nukini,65_heart,kɨpĩ,kɨpĩ,k ɨ + p ĩ,,aguiar2004,569,,,,105 110,kɨpĩ
Poyanawa-65_heart-1,,Poyanawa,65_heart,ũĩti,ũĩti,ũ ĩ + t i,,paula1992,566,,,,103 104,breathe _ti
Iskonawa-65_heart-1,,Iskonawa,65_heart,ũĩti,ũĩti,ũ ĩ + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Chakobo-65_heart-1,,Chakobo,65_heart,huiti,huiti,h u i + t i,,zingg1998,566,,,,103 104,breathe _ti
Pakawara-65_heart-1,,Pakawara,65_heart,huwiti,huwiti,h u w i + t i,,key2000,566,,,,103 104,breathe _ti
Kakataibo-65_heart-1,,Kakataibo,65_heart,nuitu,nuitu,n u i t u,,zariquiey2017,0,,,,0,nuitu
Kaxarari-65_heart-1,,Kaxarari,65_heart,hɨya,hɨya,h ɨ j a,,couto2005,570,,,,103 107,hija
Mastanawa-65_heart-1,,Mastanawa,65_heart,uɨnti,uɨnti,u ɨ n + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Chaninawa-65_heart-1,,Chaninawa,65_heart,uĩti,uĩti,u ĩ + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Sharanawa-65_heart-1,,Sharanawa,65_heart,ũĩti,ũĩti,ũ ĩ + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Amawaka-65_heart-1,,Amawaka,65_heart,huinti,huinti,h u i n + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Nawa-65_heart-1,,Nawa,65_heart,uɨnti,uɨnti,u ɨ n + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Marinawa-65_heart-1,,Marinawa,65_heart,uɨnti,uɨnti,u ɨ n + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Yaminawa-65_heart-1,,Yaminawa,65_heart,uwɨti,uwɨti,u w ɨ + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Kashinawa_P-65_heart-1,,Kashinawa_P,65_heart,ɸujnti,ɸujnti,ɸ u j/i n + t i,,zariquiey2017,566,,,,103 104,breathe _ti
Kashinawa_B-65_heart-1,,Kashinawa_B,65_heart,huĩti,huĩti,h u ĩ + t i,,camargo1995,566,,,,103 104,breathe _ti
Araona-65_heart-1,,Araona,65_heart,mosoho,mosoho,m o s o h o,,pitman1981,568,,,,0,?
Matses-59_guts-1,,Matses,59_guts,puku,puku,p u k u,,fleck2005,534,,,,92 88,stomach
Matis-59_guts-1,,Matis,59_guts,puku,puku,p u k u,,fleck2005,534,,,,92 88,stomach
Marubo-59_guts-1,,Marubo,59_guts,puku,puku,p u k u,,fleck2005,534,,,,92 88,stomach
Katukina-59_guts-1,,Katukina,59_guts,puku,puku,p u k u,,aguiar1994,534,,,,92 88,stomach
Shipibo_Konibo-59_guts-1,,Shipibo_Konibo,59_guts,puku,puku,p u k u,,fleck2005,534,,,,92 88,stomach
Kapanawa-59_guts-1,,Kapanawa,59_guts,puku,puku,p u k u,,loos1998,534,,,,92 88,stomach
Shanenawa-59_guts-1,,Shanenawa,59_guts,puku,puku,p u k u,,lanes2005,534,,,,92 88,stomach
Yawanawa-59_guts-1,,Yawanawa,59_guts,puku,puku,p u k u,,paula1992,534,,,,92 88,stomach
Nukini-59_guts-1,,Nukini,59_guts,puku,puku,p u k u,,aguiar2004,534,,,,92 88,stomach
Poyanawa-59_guts-1,,Poyanawa,59_guts,βɨtɨh,βɨtɨh,β ɨ t ɨ h,,paula1992,536,,,,233 93,βɨtɨh
Iskonawa-59_guts-1,,Iskonawa,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Chakobo-59_guts-1,,Chakobo,59_guts,puku,puku,p u k u,,zingg1998,534,,,,92 88,stomach
Kakataibo-59_guts-1,,Kakataibo,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Mastanawa-59_guts-1,,Mastanawa,59_guts,puʔu,puʔu,p u ʔ u,,zariquiey2017,534,,,,92 88,stomach
Chaninawa-59_guts-1,,Chaninawa,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Sharanawa-59_guts-1,,Sharanawa,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Amawaka-59_guts-1,,Amawaka,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Nawa-59_guts-1,,Nawa,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Marinawa-59_guts-1,,Marinawa,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Yaminawa-59_guts-1,,Yaminawa,59_guts,puʔu,puʔu,p u ʔ u,,zariquiey2017,534,,,,92 88,stomach
Kashinawa_P-59_guts-1,,Kashinawa_P,59_guts,puku,puku,p u k u,,zariquiey2017,534,,,,92 88,stomach
Araona-59_guts-1,,Araona,59_guts,e-c̷ama,ec̷ama,e tʃ a m a,,pitman1981,535,,,,0,?
Matses-81_liver-1,,Matses,81_liver,isese,isese,i + s e s e,,fleck2005,709,,,,131 132,isese
Matis-81_liver-1,,Matis,81_liver,takua,takua,t a kʷ a,,fleck2005,708,,,,17 18,liver
Marubo-81_liver-1,,Marubo,81_liver,taka,taka,t a k a,,fleck2005,708,,,,17 127,liver
Katukina-81_liver-1,,Katukina,81_liver,taka,taka,t a k a,,aguiar1994,708,,,,17 127,liver
Shipibo_Konibo-81_liver-1,,Shipibo_Konibo,81_liver,taka,taka,t a k a,,fleck2005,708,,,,17 127,liver
Kapanawa-81_liver-1,,Kapanawa,81_liver,taka,taka,t a k a,,loos1998,708,,,,17 127,liver
Shanenawa-81_liver-1,,Shanenawa,81_liver,taka,taka,t a k a,,lanes2005,708,,,,17 127,liver
Yawanawa-81_liver-1,,Yawanawa,81_liver,taka,taka,t a k a,,paula1992,708,,,,17 127,liver
Nukini-81_liver-1,,Nukini,81_liver,taka,taka,t a k a,,aguiar2004,708,,,,17 127,liver
Poyanawa-81_liver-1,,Poyanawa,81_liver,taka,taka,t a k a,,paula1992,708,,,,17 127,liver
Iskonawa-81_liver-1,,Iskonawa,81_liver,taka,taka,t a k a,,zariquiey2017,708,,,,17 127,liver
Chakobo-81_liver-1,,Chakobo,81_liver,taka,taka,t a k a,,zingg1998,708,,,,17 127,liver
Pakawara-81_liver-1,,Pakawara,81_liver,taka,taka,t a k a,,key2000,708,,,,17 127,liver
Kakataibo-81_liver-1,,Kakataibo,81_liver,takwa,takwa,t a kʷ a,,zariquiey2017,708,,,,17 18,liver
Kaxarari-81_liver-1,,Kaxarari,81_liver,taka,taka,t a k a,,couto2005,708,,,,17 127,liver
Mastanawa-81_liver-1,,Mastanawa,81_liver,taʔa,taʔa,t a ʔ a,,zariquiey2017,708,,,,17 128,liver
Chaninawa-81_liver-1,,Chaninawa,81_liver,taka,taka,t a k a,,zariquiey2017,708,,,,17 127,liver
Sharanawa-81_liver-1,,Sharanawa,81_liver,taka,taka,t a k a,,zariquiey2017,708,,,,17 127,liver
Amawaka-81_liver-1,,Amawaka,81_liver,tança,tança,t a n ç a,,zariquiey2017,708,,,,133 130,liver
Nawa-81_liver-1,,Nawa,81_liver,taka,taka,t a k a,,zariquiey2017,708,,,,17 127,liver
Marinawa-81_liver-1,,Marinawa,81_liver,taka,taka,t a k a,,zariquiey2017,708,,,,17 127,liver
Yaminawa-81_liver-1,,Yaminawa,81_liver,taʔa,taʔa,t a ʔ a,,zariquiey2017,708,,,,17 128,liver
Kashinawa_P-81_liver-1,,Kashinawa_P,81_liver,taka,taka,t a k a,,zariquiey2017,708,,,,17 127,liver
Kashinawa_B-81_liver-1,,Kashinawa_B,81_liver,taka,taka,t a k a,,camargo1995,708,,,,17 127,liver
Araona-81_liver-1,,Araona,81_liver,takʷa,takʷa,t a kʷ a,,pitman1981,708,,,,0,?
Matses-15_bone-1,,Matses,15_bone,kanite,kanite,k a + n i t e,,fleck2005,121,,,,0,back _nite
Matis-15_bone-1,,Matis,15_bone,wiʃpo,wiʃpo,w i ʃ p o,,fleck2005,122,,,,0,shinbone
Marubo-15_bone-1,,Marubo,15_bone,ʂau,ʂau,ʂ a u,,fleck2005,125,,,,0,bone
Katukina-15_bone-1,,Katukina,15_bone,xau,ʂau,ʂ a u,,aguiar1994,125,,,,0,bone
Shipibo_Konibo-15_bone-1,,Shipibo_Konibo,15_bone,ʂau,ʂau,ʂ a u,,fleck2005,125,,,,0,bone
Kapanawa-15_bone-1,,Kapanawa,15_bone,ʂaw,ʂaw,ʂ a w,,loos1998,125,,,,0,bone
Shanenawa-15_bone-1,,Shanenawa,15_bone,ʂaw,ʂaw,ʂ a w,,lanes2005,125,,,,0,bone
Yawanawa-15_bone-1,,Yawanawa,15_bone,ʂau,ʂau,ʂ a u,,paula1992,125,,,,0,bone
Nukini-15_bone-1,,Nukini,15_bone,hau,hau,h a u,,aguiar2004,125,,,,0,bone
Poyanawa-15_bone-1,,Poyanawa,15_bone,haw,haw,h a w,,paula1992,125,,,,0,bone
Iskonawa-15_bone-1,,Iskonawa,15_bone,haw,haw,h a w,,zariquiey2017,125,,,,0,bone
Chakobo-15_bone-1,,Chakobo,15_bone,ʂau,ʂau,ʂ a u,,zingg1998,125,,,,0,bone
Pakawara-15_bone-1,,Pakawara,15_bone,ʂau,ʂau,ʂ a u,,key2000,125,,,,0,bone
Kakataibo-15_bone-1,,Kakataibo,15_bone,ʂo,ʂo,ʂ o,,zariquiey2017,125,,,,0,bone
Kaxarari-15_bone-1,,Kaxarari,15_bone,ʂahu,ʂahu,ʂ a h u,,couto2005,125,,,,0,bone
Mastanawa-15_bone-1,,Mastanawa,15_bone,ʂaw,ʂaw,ʂ a w,,zariquiey2017,125,,,,0,bone
Chaninawa-15_bone-1,,Chaninawa,15_bone,ʂau,ʂau,ʂ a u,,zariquiey2017,125,,,,0,bone
Sharanawa-15_bone-1,,Sharanawa,15_bone,ʂau,ʂau,ʂ a u,,zariquiey2017,125,,,,0,bone
Amawaka-15_bone-1,,Amawaka,15_bone,çaw,çaw,ç a w,,zariquiey2017,125,,,,0,bone
Nawa-15_bone-1,,Nawa,15_bone,ʂaw,ʂaw,ʂ a w,,zariquiey2017,125,,,,0,bone
Marinawa-15_bone-1,,Marinawa,15_bone,ʂaw,ʂaw,ʂ a w,,zariquiey2017,125,,,,0,bone
Yaminawa-15_bone-1,,Yaminawa,15_bone,ʂaw,ʂaw,ʂ a w,,zariquiey2017,125,,,,0,bone
Kashinawa_P-15_bone-1,,Kashinawa_P,15_bone,ʂaw,ʂaw,ʂ a w,,zariquiey2017,125,,,,0,bone
Kashinawa_B-15_bone-1,,Kashinawa_B,15_bone,ʂau,ʂau,ʂ a u,,camargo1995,125,,,,0,bone
Araona-15_bone-1,,Araona,15_bone,e-c̷oa,ec̷oa,e tʃ o a,,pitman1981,125,,,,0,?
Matses-86_meatflesh-1,,Matses,86_meatflesh,nami,nami,n a m i,,fleck2005,747,,,,129 134,flesh/meat
Matis-86_meatflesh-1,,Matis,86_meatflesh,nami,nami,n a m i,,fleck2005,747,,,,129 134,flesh/meat
Marubo-86_meatflesh-1,,Marubo,86_meatflesh,nami,nami,n a m i,,fleck2005,747,,,,129 134,flesh/meat
Katukina-86_meatflesh-1,,Katukina,86_meatflesh,nami,nami,n a m i,,aguiar1994,747,,,,129 134,flesh/meat
Shipibo_Konibo-86_meatflesh-1,,Shipibo_Konibo,86_meatflesh,nami,nami,n a m i,,fleck2005,747,,,,129 134,flesh/meat
Kapanawa-86_meatflesh-1,,Kapanawa,86_meatflesh,nami,nami,n a m i,,loos1998,747,,,,129 134,flesh/meat
Shanenawa-86_meatflesh-1,,Shanenawa,86_meatflesh,nami,nami,n a m i,,lanes2005,747,,,,129 134,flesh/meat
Yawanawa-86_meatflesh-1,,Yawanawa,86_meatflesh,nami,nami,n a m i,,paula1992,747,,,,129 134,flesh/meat
Nukini-86_meatflesh-1,,Nukini,86_meatflesh,nami,nami,n a m i,,aguiar2004,747,,,,129 134,flesh/meat
Poyanawa-86_meatflesh-1,,Poyanawa,86_meatflesh,nambi,nambi,n a ⁿb i,,paula1992,747,,,,129 135,flesh/meat
Iskonawa-86_meatflesh-1,,Iskonawa,86_meatflesh,nami,nami,n a m i,,zariquiey2017,747,,,,129 134,flesh/meat
Chakobo-86_meatflesh-1,,Chakobo,86_meatflesh,nami,nami,n a m i,,zingg1998,747,,,,129 135,flesh/meat
Pakawara-86_meatflesh-1,,Pakawara,86_meatflesh,nami,nami,n a m i,,key2000,747,,,,129 134,flesh/meat
Kakataibo-86_meatflesh-1,,Kakataibo,86_meatflesh,nami,nami,n a m i,,zariquiey2017,747,,,,129 134,flesh/meat
Kaxarari-86_meatflesh-1,,Kaxarari,86_meatflesh,lami,lami,l a m i,,couto2005,747,,,,129 135,flesh/meat
Mastanawa-86_meatflesh-1,,Mastanawa,86_meatflesh,dabi,dabi,d a b i,,zariquiey2017,747,,,,129 136,flesh/meat
Chaninawa-86_meatflesh-1,,Chaninawa,86_meatflesh,dabi,dabi,d a b i,,zariquiey2017,747,,,,129 136,flesh/meat
Sharanawa-86_meatflesh-1,,Sharanawa,86_meatflesh,dabi,dabi,d a b i,,zariquiey2017,747,,,,129 136,flesh/meat
Amawaka-86_meatflesh-1,,Amawaka,86_meatflesh,nambi,nambi,n a ⁿb i,,zariquiey2017,747,,,,129 135,flesh/meat
Nawa-86_meatflesh-1,,Nawa,86_meatflesh,dabi,dabi,d a b i,,zariquiey2017,747,,,,129 136,flesh/meat
Marinawa-86_meatflesh-1,,Marinawa,86_meatflesh,danbi,danbi,d a ⁿb i,,zariquiey2017,747,,,,129 135,flesh/meat
Yaminawa-86_meatflesh-1,,Yaminawa,86_meatflesh,dabi,dabi,d a b i,,zariquiey2017,747,,,,129 136,flesh/meat
Kashinawa_P-86_meatflesh-1,,Kashinawa_P,86_meatflesh,nami,nami,n a m i,,zariquiey2017,747,,,,129 134,flesh/meat
Kashinawa_B-86_meatflesh-1,,Kashinawa_B,86_meatflesh,nami,nami,n a m i,,camargo1995,747,,,,129 134,flesh/meat
Araona-86_meatflesh-1,,Araona,86_meatflesh,emi,emi,e m i,,pitman1981,747,,,,0,?
Matses-40_fatgrease-1,,Matses,40_fatgrease,βɨtʃi,βɨtʃi,β ɨ tʃ i,,fleck2005,5,,,,0,skin
Matis-40_fatgrease-1,,Matis,40_fatgrease,ʂɨnio,ʂɨnio,ʂ ɨ n i + o,,fleck2005,358,,,,0,fat _o
Marubo-40_fatgrease-1,,Marubo,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,fleck2005,358,,,,0,fat
Katukina-40_fatgrease-1,,Katukina,40_fatgrease,xene,xene,x/ʂ e n e,,aguiar1994,358,,,,0,fat
Shipibo_Konibo-40_fatgrease-1,,Shipibo_Konibo,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,fleck2005,358,,,,0,fat
Kapanawa-40_fatgrease-1,,Kapanawa,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,loos1998,358,,,,0,fat
Shanenawa-40_fatgrease-1,,Shanenawa,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,lanes2005,358,,,,0,fat
Poyanawa-40_fatgrease-1,,Poyanawa,40_fatgrease,hɨndi,hɨndi,h ɨ ⁿd i,,paula1992,358,,,,0,fat
Iskonawa-40_fatgrease-1,,Iskonawa,40_fatgrease,hɨni,hɨni,h ɨ n i,,zariquiey2017,358,,,,0,fat
Chakobo-40_fatgrease-1,,Chakobo,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,zingg1998,358,,,,0,fat
Kakataibo-40_fatgrease-1,,Kakataibo,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,zariquiey2017,358,,,,0,fat
Mastanawa-40_fatgrease-1,,Mastanawa,40_fatgrease,ʃidi,ʃidi,ʃ i d i,,zariquiey2017,358,,,,0,fat
Chaninawa-40_fatgrease-1,,Chaninawa,40_fatgrease,ʂɨdi,ʂɨdi,ʂ ɨ d i,,zariquiey2017,358,,,,0,fat
Sharanawa-40_fatgrease-1,,Sharanawa,40_fatgrease,ʂɨdi,ʂɨdi,ʂ ɨ d i,,zariquiey2017,358,,,,0,fat
Amawaka-40_fatgrease-1,,Amawaka,40_fatgrease,çɨndi,çɨndi,ç ɨ ⁿd i,,zariquiey2017,358,,,,0,fat
Nawa-40_fatgrease-1,,Nawa,40_fatgrease,ʂɨdi,ʂɨdi,ʂ ɨ d i,,zariquiey2017,358,,,,0,fat
Marinawa-40_fatgrease-1,,Marinawa,40_fatgrease,ʂɨndi,ʂɨndi,ʂ ɨ ⁿd i,,zariquiey2017,358,,,,0,fat
Yaminawa-40_fatgrease-1,,Yaminawa,40_fatgrease,ʂɨdi,ʂɨdi,ʂ ɨ d i,,zariquiey2017,358,,,,0,fat
Kashinawa_P-40_fatgrease-1,,Kashinawa_P,40_fatgrease,ʂɨni,ʂɨni,ʂ ɨ n i,,zariquiey2017,358,,,,0,fat
Araona-40_fatgrease-1,,Araona,40_fatgrease,etsei,etsei,e ts e i,,pitman1981,358,,,,0,?
Matses-13_blood-1,,Matses,13_blood,intak,intak,i n t a k,,fleck2005,105,,,,0,intak
Matis-13_blood-1,,Matis,13_blood,imi,imi,i m i,,fleck2005,106,,,,0,blood
Marubo-13_blood-1,,Marubo,13_blood,imi,imi,i m i,,fleck2005,106,,,,0,blood
Katukina-13_blood-1,,Katukina,13_blood,himi,himi,h i m i,,aguiar1994,106,,,,0,blood
Shipibo_Konibo-13_blood-1,,Shipibo_Konibo,13_blood,himi,himi,h i m i,,fleck2005,106,,,,0,blood
Kapanawa-13_blood-1,,Kapanawa,13_blood,himi,himi,h i m i,,loos1998,106,,,,0,blood
Shanenawa-13_blood-1,,Shanenawa,13_blood,imi,imi,i m i,,lanes2005,106,,,,0,blood
Yawanawa-13_blood-1,,Yawanawa,13_blood,imi,imi,i m i,,paula1992,106,,,,0,blood
Nukini-13_blood-1,,Nukini,13_blood,imĩ,imĩ,i m ĩ,,aguiar2004,106,,,,0,blood
Poyanawa-13_blood-1,,Poyanawa,13_blood,imbi,imbi,i ⁿb i,,paula1992,106,,,,0,blood
Iskonawa-13_blood-1,,Iskonawa,13_blood,imi,imi,i m i,,zariquiey2017,106,,,,0,blood
Chakobo-13_blood-1,,Chakobo,13_blood,himi,himi,h i m i,,zingg1998,106,,,,0,blood
Pakawara-13_blood-1,,Pakawara,13_blood,himi,himi,h i m i,,key2000,106,,,,0,blood
Kakataibo-13_blood-1,,Kakataibo,13_blood,imi,imi,i m i,,zariquiey2017,106,,,,0,blood
Kaxarari-13_blood-1,,Kaxarari,13_blood,himi,himi,h i m i,,couto2005,106,,,,0,blood
Mastanawa-13_blood-1,,Mastanawa,13_blood,ibi,ibi,i b i,,zariquiey2017,106,,,,0,blood
Chaninawa-13_blood-1,,Chaninawa,13_blood,ibi,ibi,i b i,,zariquiey2017,106,,,,0,blood
Sharanawa-13_blood-1,,Sharanawa,13_blood,ibi,ibi,i b i,,zariquiey2017,106,,,,0,blood
Amawaka-13_blood-1,,Amawaka,13_blood,himbi,himbi,h i ⁿb i,,zariquiey2017,106,,,,0,blood
Nawa-13_blood-1,,Nawa,13_blood,ibi,ibi,i b i,,zariquiey2017,106,,,,0,blood
Marinawa-13_blood-1,,Marinawa,13_blood,inbi,inbi,i ⁿb i,,zariquiey2017,106,,,,0,blood
Yaminawa-13_blood-1,,Yaminawa,13_blood,ibi,ibi,i b i,,zariquiey2017,106,,,,0,blood
Kashinawa_P-13_blood-1,,Kashinawa_P,13_blood,himi,himi,h i m i,,zariquiey2017,106,,,,0,blood
Kashinawa_B-13_blood-1,,Kashinawa_B,13_blood,himi,himi,h i m i,,camargo1995,106,,,,0,blood
Araona-13_blood-1,,Araona,13_blood,ami,ami,a m i,,pitman1981,106,,,,0,?
